jwat	jwlt	kqat	jdah
nak	pak	nsk	gak
lamwam	lemwam	osmwwm	lamwwn
oyerogi	owerogi	oherpbi	uyefogi
nyakone	nyakove	nyskpne	hywkons
gunene	gunene	numwne	tnnene
tekki	tekfi	rekji	hwkli
ŋwece	ŋwece	ŋwfce	ŋwdce
wutiyogi	wutiyfgi	wutuylgi	wufigoni
ilwoŋŋe	ilwoŋqe	ilwlŋŋe	ikeoŋŋe
jug	jugg	jhg	jug
dyer	eyer	cher	dyef
wucayo	wpcayo	whdato	qufayo
gumokko	gumhkko	gunonki	tumokno
opotto	opoyto	lporti	opotto
ogonya	ozonya	oglnma	oginha
apwoya	apwhya	aowlyw	aldoya
naŋo	naŋoh	taŋo	nwŋl
labbe	labbey	lahhe	uzbbe
penyi	penyiw	oehyi	kenyl
wacik	wocik	wacik	wacni
majan	rajan	mamam	majan
wakatti	wakatti	dakattj	walatro
twany	twanv	twqnt	yqqny
iketto	oketto	ometfo	kkstto
wabed	habed	wages	wavdd
gulwoŋŋe	lulwoŋŋe	guldoŋŋe	gulalŋŋe
un	unv	un	hn
wanenno	wanennh	wabdjno	wwhrnno
ipenyo	ipenyoi	jlenyp	ipdnti
wabinen	wabinenm	wabineh	wabunsj
imiya	imiyag	lmiua	omiyz
ywiin	ywiinj	ywilh	ywlyn
openyogi	openyoni	opemyogi	ooenyotu
kitman	kihman	kythan	kirmsn
cingge	cinhge	vkggge	xkngye
gimatti	gimattin	vkmathi	gomstgi
torre	torred	tigre	tpere
gibiywayowu	gibiywayrwu	givuywayoqu	gjbiywaykqu
warabo	warvbo	daeabl	warsbo
guketogi	gudetogi	gumetkri	ghkerobi
umo	umoi	umi	uml
nakke	nakle	jskke	nqkke
amoko	bmoko	amoip	anoko
gunyomme	gunyotme	guhyohmr	gubyohme
atek	atck	xtfk	stfk
gicike	gicikek	njclke	gjcike
kwne	kgne	iwbe	ywne
cweerro	cweerrou	cwsergk	cweeruo
gilyerrogi	gilyerrogk	niljerrogl	gilyerrlhi
bag	bago	bzg	bzv
maro	marn	jago	mabo
walub	walubf	wxoub	walib
oŋuti	oŋdti	oŋurk	oŋudi
pudi	pvdi	kjdi	puwj
gigoye	gsgoye	ginots	nigiyw
rwatte	rcatte	rdaghe	gwatge
giribboni	giribconi	gieobbono	virufboni
biwilo	biwiso	bizulo	biajli
anoki	anokir	anomj	sniki
elarwu	elarou	wlardh	slagwu
wukwa	wunwa	whnwa	quows
utmegini	utmeyini	ktmegigu	utmrfini
ŋenenu	fenenu	ŋenejj	ŋdhenu
ngedi	ngedip	jgeci	ngxvi
giti	gmti	glfi	ykti
manyen-ni	manyen-nq	nahjen-ni	kanysh-ni
imwam	imwamg	omwxm	ijsam
pip	pij	kip	pil
adyeny	adyenya	afgdny	adusny
omunynyo	omufynyo	khunynyo	omuhgnyo
wubiwoto	wubiloto	whbjwlto	dubowkto
akutta	akujta	akutgq	akutya
itere	itare	lterr	ktwrr
arara	araza	xrqra	qesra
wulegi	pulegi	shldgi	qjlfgi
telowu	zelowu	tdoowk	tekiwi
iwinynyo	iwinunyo	iwijhnyi	iwohgnyo
litinino	litinvno	luyinink	litknjnk
inoto	inoxo	lgoto	igoyo
nigning	nigningp	nkgbihg	tigning
tucco	tuccn	thfco	tucco
agulu	axulu	avupu	wtylu
neri	nerib	neeu	nwri
dange	danbe	vxnge	vsgge
bogigi	bonigi	nogitj	hogofi
atiyo	atijo	qtjyo	atlti
wulokke	wklokke	shmokke	djllkke
yibbe	dibbe	hibbw	yivgw
ngom-ngore	bgom-ngore	ngln-mgore	ngom-ngnre
cupiria	cuyiria	vjpiria	vuoirka
gupwoddo	gupwoddod	gupekddo	gupwidro
ikano	ikanor	ikaji	ikxnp
apidig	apigig	zpurig	apidig
ginogge	ginogbe	tonoggd	rimpgge
neru	neyu	neek	nqru
leyo	leyb	oeyk	pryo
wanger	waoger	wznhwr	wangwf
rabbo	rrbbo	dabbp	ravbo
puu	pus	kuu	puu
apero	aperos	apsrp	aperp
pwonne	pwoene	pwinre	pwonns
moni	aoni	jonl	monl
tweroni	twerdni	tqefpni	twehonl
kink	kinkw	kihk	kini
gikumo	gikumo	gikukn	rikuno
cunna	cunnv	xubna	dunja
mairo	mfiro	mqiro	nziro
yere	yers	tege	ywre
gwetto	gwettg	yweyfo	gdstfo
balgi	balpi	falti	bxigi
oti	otip	otk	oti
lwi	lwh	lwl	oqi
rabbe	rabbeg	dsbbe	dwbbe
ŋiyo	ŋiyoh	ŋkgo	ŋkyo
okwoyo	okloyo	okelyo	ukwoyp
kwarrogi	kwarroei	kwsrrofi	kdagrkgi
olek	okek	kiek	poek
ngollo	ngolbo	gyillo	gyollo
bino-ni	bino-di	binl-gi	buno-hi
ginuddo	giouddo	hibudro	gibuddo
guyekke	guyzkke	gkyeokw	ykyekke
onyot	onyott	onjkt	onykt
ipwonynya	iphonynya	ipwogynhs	ipqobynga
kwoŋŋi	swoŋŋi	kaoŋŋi	kapŋŋi
giliyo	galiyo	gjouyo	gulito
lam	lamm	lak	lsh
gijony	gbjony	gijlju	gijody
aron	iron	wrln	zron
ayelogi	ayeloqi	ayflohk	auwlogo
beŋŋe	bvŋŋe	beŋŋe	beŋŋs
apil	hpil	apoo	spik
bikatowu	bikatouu	fjkqtowu	bjoztowu
mwoddo	mwodde	mwldcp	mwlcdo
anyoo	unyoo	angoo	wnyoo
ockid	dckid	lckid	ockjd
waweke	wawekek	wzqeks	swaeke
wukoki	wukokia	wuloki	quolki
ciria	ciria	figia	clfia
remmogi	remmogd	rrmmodi	rwmhogi
balun	ualun	bakuh	bsiun
oŋolo	xŋolo	oŋomi	kŋolp
lire	liree	ljrr	mide
atero	ateroh	wfero	xtqro
ikok	ikoko	ulok	ikou
mit	wit	mut	mof
wadina	aadina	wavinx	wsdina
pur	bur	pir	kur
abakki	abjkki	agzkkk	ebamki
bwino	fwino	bejno	bwjnp
orok	prok	ogkk	orln
banynye	bandnye	banyjyz	bqnybyf
oo	oq	oo	io
wawot	wawxt	szwot	wadpt
wajolo	wajflo	wqjomi	wajool
oŋut	oŋkt	iŋut	oŋyt
twonni	twonnia	twobbj	twmnno
ticwu	ticwd	ricwj	tifwi
ecikke	ecbkke	fdikkw	ecjkie
biballo	bibyllo	bibalki	nibxllp
gilwongge	gilwbngge	gileonghf	giowinggw
inyonno	inyoino	jbyonbo	ontobno
giywe	gihwe	giyfe	gijqf
wanyero	wanyerd	wabjerl	sanyfrl
ocike	ocikea	kcike	osikq
kwariwa	kwariva	lwariqx	kwaroaa
ningo	ningu	nihgp	nunho
gukelo	nukelo	yuueoo	gjjell
taarac	taaray	tzadax	raxrac
gurweny	gurweey	gyewemy	hufweny
aniino	aniiwo	aniuno	aniujl
ajoga	aloga	akoga	ajogq
atiyo-ni	atiyo-nik	stiyo-ni	agiyo-nl
wucako	wucakoa	wuczoi	qucaho
mogo	moho	jpgo	movo
oryeye	oryeyq	idysye	irysye
wupenye	wwpenye	wulsnyr	wupebhd
orwenynye	orwewynye	odwejyhye	orwenhnye
icayo	bcayo	icsyo	ocqyo
giteŋo	giteyo	bifeŋo	gjtdŋo
abipenyowu	abrpenyowu	ahipenykdu	abipsnykwu
akwaani	fkwaani	skwaani	alezani
gunayo	gunayx	gunwmo	ruuayo
adong	adongv	sdong	sdonr
ebimiyowa	ebmmiyowa	wnimiylwa	vbimiyoda
our	ouu	ojr	ouf
lawitti	latitti	lawitfi	oawifti
dwanynyo	dwanjnyo	dwqnynyo	dwamknyo
oteggi	otegai	ltdggo	iregni
cac	mac	sac	cav
alipayo	alipeyo	allkqyo	xlipqyk
mucarane	mucaranev	nuczrane	mudarahs
cwinygi	cwinygid	swihtgi	caimtgi
pira	pera	lifa	pira
nene	nenez	gwne	nrme
okuk	oguk	kkuo	okkm
anyedda	ajyedda	amjedda	wnycdda
itweyo	itaeyo	ktwfyi	otweyp
oryam	oryfm	oeyak	orysm
bigwokowu	bigiokowu	bigsilowu	bogfokowu
iworo	iworow	lwpro	kwodo
otiŋe	osiŋe	oguŋe	itiŋe
geeno	geeno	geeuo	geeno
rwenyo	rwcnyo	rwebyo	rsebyk
gibijoli	gibijali	gibujplk	gihljoli
gucok	gucokq	ghcoi	ghxok
perga	pergam	pcrga	pffga
odiya	odiyar	idlya	oekyx
koti	kotig	olti	noyi
kareni	klreni	mqgeni	kzremi
ngenino	ngeninoj	ngdjjno	nnegiho
kern	kurn	bern	kwdn
lwetcig	lwetcigc	lwwrxig	lwetcou
latwok	latdok	lafwol	lxtqok
mataar	mataarp	mstaxr	jatazr
abac	nbac	afqc	sbac
cog	xog	ckg	cof
yurakwilo	yurakwiko	yurakwipo	yurxkwklp
gucuŋ	gucul	giciŋ	gjckŋ
lubaparicayo	lubaparinayo	lubaparlcxtp	oufapaeicayo
cumurna	cumurqa	sumirba	chhudna
mor-mor	mor-morw	mkr-mod	mir-jor
kiraka	karaka	klrakx	kisqka
obamme	oramme	ibajmw	obayne
aniaŋ	aziaŋ	xniaŋ	sjiaŋ
obwo	oiwo	obwo	ogqo
guyeny	guysny	hujehy	gytent
odoŋ	odor	osoŋ	ifoŋ
abur	aburk	zgur	abur
cwal	cwac	vwam	cwal
wunwu	tunwu	wumsu	wknwu
matidine	matidiye	maridinw	matjdine
nyiŋe	ntiŋe	nykŋe	nyiŋd
lamerokwu	lameroawu	lanerolwy	lanfrokwu
larum	larumx	larum	laruh
okolok	ololok	okklpk	okllok
telle	tejle	relle	gemld
alilii	qlilii	wiilii	aliojl
ojinno	ojizno	pjunno	ojinni
angoro	angojo	sjgoro	ajgofo
atyak	atoak	ztyqk	athaj
otiŋo	ttiŋo	otiŋp	ptiŋl
gibwolwu	gibwolqu	tlbwolsu	gkhwllwu
meega	mebga	mqega	meegw
giunogi	giunsgi	gkunono	biumogi
ocunga	ocucga	ocimva	ovunga
guumme	gudmme	gyhmme	guumhe
kak	kas	kam	ial
muranga	murangaf	mudqmga	kurxngz
admin	admgn	adhij	admln
acayo	acayof	acayo	asayp
de	dd	de	de
lalilii	lplilii	lalhlui	lxmilli
rwit	fwit	dwut	rwit
muyero	muyerq	muydro	muuerj
lacenne	lwcenne	lsdejne	oscennr
omuko	omukf	kmuko	imyko
gujer	gujdr	yijer	goier
oponggi	opknggi	oponggk	kponygi
icung	icurg	pcung	kfung
pienno	nienno	lkennl	piemgi
lira	lirl	iida	oita
ceerro	cearro	cderri	xrerro
obuto	oduto	ofjto	obhgo
motoli	mowoli	mlgoli	tofoli
okuto	ekuto	okjro	ooutp
onyabbe	onyabbm	ohyabge	onhabbe
bidwogo	bidwono	nkdwpgo	hidwigo
amiye	akiye	ahiys	wjiyf
opotino	opotmno	okotiho	lpoyigo
pyedo	pyelo	oyedo	pjedk
lamal	lamat	lqmwl	mamwl
orokko	arokko	lrokno	ofokmo
owil	owiv	oeio	owip
dwog	dwogu	swor	dwog
lapenane	lapeqane	lxpencne	oapfnabe
aŋene	aŋyne	aŋenw	aŋxne
yunibacity	yuiibacity	yibinacity	juhibacity
betania	beoania	betxhua	beganjx
pi	px	pi	pk
lurem	lurep	luerm	lkrem
otti	ohti	ptri	itri
tute	tuje	futr	tute
laac	lxac	lwqc	oaav
kopo	kvpo	kook	koko
awobbe	hwobbe	aeofbs	aspbbe
agimma	zgimma	zgikha	xginma
cekem	cekemt	celek	cdkem
angii	angij	angii	znhki
olanya	olanqa	olrnya	omanya
icitwee	qcitwee	icitarf	icihaew
agibba	ayibba	sgkhba	avjbbs
ryany	ryanm	ryany	eyagy
nangge	nadgge	nqbgve	nahgge
giwiny	giwigy	gisjhy	gidjnt
kol-li	koz-li	kou-lk	jol-li
gutemmo	gdtemmo	gjremho	guyehmo
apia	akia	apia	apis
rummo	rummc	rumgo	tunmo
acit	jcit	zciy	asih
ocido	ocidor	ofidi	kcido
lworro	lwvrro	lwudro	lekrro
kabaka	kabaja	kabqma	uabala
komkerra	kemkerra	klmkerrq	konkerga
giyenyi	giyenyj	yiyrbyi	goyenyi
mupye	mbpye	mupgr	mkpje
timone-ni	timose-ni	tikond-ni	tijkne-ni
aneko	aneho	abekp	xnekk
opaŋŋe	opaŋse	lpaŋŋr	opxŋŋe
gujanynye	gujanygye	njjabynye	ghjqnunye
okwallo	gkwallo	okwallk	kkwqolo
wabibino	wabibido	wwbibigo	wwbkbimo
wabitelo	webitelo	wzbltelk	wabotejo
dak	hak	vak	dau
akel-dama	akel-damau	aiwl-dams	akem-cama
gilorro	gilirro	gilorrp	goloero
waca	saca	sasa	wzva
gkiotte	skiotte	fmiotte	gkiottw
kele	kelv	jeke	kelc
lingo	uingo	ljnro	mlngo
calle	caole	vaile	sallf
gwnynye	gfnynye	gwnyhyc	gwnjngr
gurwenywu	gurwznywu	hyrwwnywu	gitwenywh
liggo	leggo	liggi	ligvo
gitukko	gftukko	guthkko	vjtukkk
kapten	kaxten	tapten	kakten
wulwok	wulwoky	wlkwok	dklwok
gigol	iigol	gitpl	higop
gubakke	gubakkef	gkfwkke	hjbakkd
cimo	civo	cikk	coho
nyanga-nyatjar	nwanga-nyatjar	nnanga-nuatjag	njenga-ngxtjar
lakaibona	lakaijona	oakaibinq	lsoaihona
acikati	acikaoi	afiyati	aciiaei
keremec	keremec	kedemec	keremsv
rwat	rwaq	fwwt	rwag
ipekko	inekko	ipekuj	ipdkbo
gugoyogi	gugoyogi	gutohogi	gugojpbi
nom	lom	nlm	nik
adii	adio	adku	adui
wamotowu	wamotdwu	wanktowh	wxmotoeu
ebinno	ebinuo	evlhno	evkjno
lulevi	lulmvi	kupevk	iulrdi
ibonggo	ibongto	ibonrmo	jbomggp
gikwane	zikwane	golwans	gjkwahe
nget-nget	nget-bget	hgrt-nget	nget-hgft
wakok	wakow	qakoj	wakpk
kiyo	oiyo	kljo	jiuo
guwacce	guwacck	guwawfe	hhwacxe
wubwotgi	wubootgi	wuvwltgl	wibeotgo
abala	abalat	afals	wbspa
inong	inwng	inpgg	inkhv
dwani	dwanis	daxni	deabi
ilubo	ilubz	ikuno	ilhvl
lure	luye	lhee	luce
ringgo	rinmgo	rinfgj	ribgrk
keto	ketu	neti	kfti
luticca	luticqa	liticce	iuticsz
gigwinynyo	gigwindnyo	gigwigyjgo	fjgwinynjo
acwalowu	acwalowg	acwaluwk	wcwsllwu
gireggo	giregyo	girrghl	gieeggl
gibineno	gibinbno	glbijemo	gjbonwno
tworro	twordo	ywprri	twmrto
cwerro	cwerrx	cqetdo	cwerru
caulo	caulov	vaulk	cailj
biri	birij	tiri	bkri
alokkoni	wlokkoni	aloknkji	spolkoni
gibidwoke	gibidwske	gibidwjje	giblrwone
lyerro	lygrro	lyexro	oyegro
lokacaa	logacaa	kkkacaa	louzcaa
caŋo	cafo	vaŋo	csŋi
bilweny	bilwenn	nilwehu	ujlweny
bibwoyogi	bibwpyogi	bigwoyogk	bibdpyogu
omii	ompi	omki	omli
likwayo	liknayo	ljkwwjo	likweyi
lukwena	luwwena	likqfna	ohjwena
kiteyi	kitemi	klfeui	kifsti
ogwoko	ogwoao	otwonl	pgwlkl
ladwog	ladwogn	lsfwog	pzdwoy
buk-ki	bukmki	hjn-ki	vuo-kk
kom	kom	mom	kom
ojony	oaony	pjiny	kjkny
jemogi-nu	jemogi-nun	jenoti-gu	jsmogi-nj
wulubgi	wulubgim	dkoubgi	euoubgi
owille	owflle	osolle	kwimlf
ibedo	ibedy	lbeso	ibfdo
juda	juna	jyda	jura
gigot	gigow	glgkt	ylgoy
adongi	adoygi	xdongi	adobgo
carok	sarok	xarom	vahok
itito	imito	itkto	irlho
ladwala	ladwalf	madwwlz	lswwals
ryamogi	ryamogiq	ryamlgi	ryshogo
omul	omus	lmjl	imuk
taulo	oaulo	tauko	ywulo
latic-cu	latii-cu	lxtix-cu	lztic-cj
itwa	ikwa	itaa	itwc
agoro	agoio	sgiro	qtoro
lalek	lalekl	lqoek	iapwk
dwarro	dwarxo	wdsrro	rwwrro
wanglobo	wanglobz	wqngpobp	wxnglpbk
gunog	runog	gigog	gjnou
ginyaa	ginywa	gomyas	ginydw
oummo	oummo	lkmmo	iummk
gibititowu	gibititowv	gkbitltoqu	gubititofu
caŋone	caŋoue	daŋone	caŋigr
obedi	abedi	obegi	ogwdk
hi	hic	hi	ti
biterri	bbterri	biterrj	bktergi
lwodo	lwodot	laido	lwocp
cungge	cuigge	cunfge	ckhhge
wacinek	wacinek	eacibek	wxcijfk
judo	juro	judk	judo
cwir	cwiro	cfir	cair
odonggo	odznggo	krlnggo	odomggo
mittoni	mittoqi	mlttpnj	ylttoni
lugalilaya	lugalilaaa	lkmalilaya	lugalklwya
purl	pmrl	pugo	ohrl
pigi	pigy	ligi	ppgi
ngut	nguta	nhut	ntuh
bikuto	bckuto	gikutl	blkuho
opirro	opirrg	olierl	kpivro
icibo	icdbo	isubo	iciho
ngonno	nmonno	mgonjo	ngonho
taar	taarn	gxar	tawg
mapol-gu	mapolpgu	mapil-ni	mapkl-gu
gudok	gfdok	gjxok	tydoi
jogga	jogoa	yobga	jlgga
wubidokke	wubipokke	wubixokke	wubidokkd
mucoyo	mucoyy	hjciyo	hucoyo
cenggo	cenggo	sebvgo	cfngro
icat	icaq	icqh	icwt
ititte	ititted	ltjtye	ltutye
wagam	wmgam	szgam	wshxm
taŋo	taho	taŋl	taŋk
lagama	laxama	psgaja	lxganw
tabu	tabs	gagu	tqbu
gwokke	gwokae	vakkke	gsookr
giwek	giwek	fiwwk	goask
teke	tgke	tsne	hrke
kitambarani	sitambarani	oirambsrani	kitajyarsni
abummu	abugmu	sbummm	agujmu
remogi	demogi	demmgi	eemoni
bimuko	biiuko	bomukn	fomukl
tenynye	tenynyl	henybyf	tenykyf
merre	gerre	msrge	mxrrf
taruco	tarucoo	hartco	yxruck
gipotto	gipottt	goootyo	gipotyo
coto	csto	cotn	cigo
ocek	ocrk	oxel	lcrk
otorro	otorrp	otoryi	pforro
moor	loor	hooe	mlor
wubino	wubizo	qurino	qkbino
wudiir	wudiirg	sueuir	wueijg
lagwer	lagwery	iahwer	lxgwdt
ibimiyo	ibimiyol	ibimkhp	ofimiuo
jwatto	awatto	hwatro	jwattk
wubineno	wubinenw	wuginfgo	zubigeno
aketta	akitta	sketyz	zletta
pul	puo	lul	pul
week	weekf	wedk	week
iryeyo	iryeyt	orjeyl	ktyeto
edong	edmng	eepng	edimg
agero	fgero	xgerk	xfedo
kenynye	kenynyet	kdmyjye	jenjnge
icipitti	iuipitti	ucopitri	ichoitti
biyo	biho	bujo	biyo
Ŋano	Ŋanol	Ŋago	Ŋsno
onyute	onyete	onyure	ohynte
binene	brnene	bihdnf	ginsnr
kadi	kadiq	kadi	madi
loko	lvko	mkko	llko
wurwenyo	wurwenyc	wuywenuo	wurqengl
munoŋo	munoqo	mknkŋo	mugoŋo
aliine	alhine	slilnw	zpiinw
lakwele	lakwere	lakwsle	kqkwwle
gibidoŋ	gibizoŋ	glgieoŋ	gigidoŋ
gig	jig	fig	git
lutelebgi	lutelebgi	iutelfbhi	lutdlegfi
gilworo	zilworo	bilwlgo	gikworo
oboko	obopo	ibooo	pboko
lye	lbe	lhe	lys
belgi	belgi	beogu	fdlgi
arwii	arpii	zgwii	srwoi
cug	cugx	cyg	duf
kalara	kalaraw	kalwra	kwlsra
inyap	jnyap	ijyxp	inhqk
mec	moc	hec	hex
gidiye	gsdiye	giciur	fkdiyr
itemmo	itepmo	ktemji	iyekmo
ryo	ayo	tyo	tto
kara	jara	nara	usra
timmi	tdmmi	timjl	timki
cudanjoo	cuzanjoo	cudajjoo	sudanjip
anek	aneke	anwj	anwk
micon	micqn	migon	midln
giyubbo	ziyubbo	gijuffo	tiyibno
oŋwette	cŋwette	oŋwrtta	oŋwegte
lacaden	yacaden	kacadek	kacadeh
gurum	gurumo	vurhm	rubum
gujola	cujola	ghjkoa	gjjola
olobogi	odobogi	klobkfi	olibogp
teny	jeny	yeng	temy
opurro	opujro	okurtp	okurgo
akwerro	akweruo	akwecgo	aiwergo
lalwoŋ	lalwog	lzlsiŋ	lslslŋ
bagicu	bsgicu	bzbicu	bayjcu
kicwaarre	kimwaarre	ikcwazrre	kicqaqrre
omeeru	qmeeru	okreri	ohseru
dwanne	wwanne	ddaine	fwanfe
luboneni	liboneni	lkblnegi	pubobwni
through	thrsugh	ghrough	throuyu
dumo	dzmo	wump	dymk
awobewu	awobqwu	awpbwsu	aqkbrwu
ojing	ojivg	ijigg	ljung
wamwod	iamwod	wamwpe	aamqid
agaka	agcka	agajq	wgaua
mabuc	mabucp	mqbkc	jwbux
icik	iclk	icuo	icko
bimiyo	bijiyo	rimiyl	nimiho
malaga	malada	mwlafq	mwlwfa
opok	bpok	oopk	okok
wuguro	wuauro	wubtro	eugugo
pokko	pokkoj	pokko	pokuk
anania	ananza	anxnia	qhania
wunyak	vunyak	ejnyam	eunyao
jukko	juhko	iukkk	ukkko
akurane	akuranr	wlurahe	akygame
gegnogi	gegnofi	gegjigi	gdgnogk
gititto	gioitto	gitidfo	gitkhti
oŋabbe	oŋabye	oŋahbd	oŋabhr
onyatte	onyattej	ljyayte	ohyxttd
giwilo	giailo	gisllo	gowilo
kong	kongc	jong	kohb
oyoggo	oyoggod	pyonbo	igovgo
ituria	iturid	ituvka	itueis
opur	kpur	ooyr	oour
nyigi	nyigij	ngivi	byugl
jerro	jwrro	yerrp	nfrro
ce	ca	ce	fe
omiinigi	omiknigi	pmlinigj	omiigugi
garro	garrf	garro	gawro
cono	cooo	cpho	ckho
mawac	mawau	mxaac	hxwav
lunyodo	lunhodo	lyntpdo	kumyodk
lunggo	lunggv	kumvgo	lingyo
opillo	opillq	npullo	oliplo
lunynyo	lunynfo	lunynyi	ounjmyo
ikwal	ikwaln	iksam	jiwal
gipik	gipak	fipin	yjpok
oyoo	oyoy	ojop	oyoo
okoc	okocd	oiox	lkoc
nngwec	nnggec	nnhwed	nngwec
elwii	nlwii	eowoi	elwii
lacoyo	lacopo	lasojp	pzsoyo
idag	idagz	ldqg	idag
lacan	lgcan	laxag	kavan
walonnye	walsnnye	salognje	walobbyr
omiini	omiiai	omjimi	kmiuni
larre	sarre	lxtre	isrde
owacca	ovacca	oxacca	pwaccq
tac	taci	tax	tac
otunggi	omunggi	kghnggi	otuhghk
itiyo	imiyo	ifijo	ototo
tabbo	tabby	tzbbl	txbbo
bibedo	bibedou	bibeek	binddo
dwan	dwin	dwsg	dwwg
nyutwa	nyutfa	bjktwa	hyitws
yanggu	yxnggu	hanghu	yaggru
bedo	bjdo	vexo	beao
pikko	pikky	oikko	lkkio
acano	acani	aczbo	acaju
kayapa	kabapa	latapz	kwyaps
wupot	wuprt	skpot	ejpkt
oton	ozon	ofln	lton
waneno	wanelo	wqkeno	wanqmo
oridde	orisde	orkdwf	prifde
lanen	lfnen	mxnen	lajsn
otugi	otugil	ktygi	itigu
ŋak	ŋxk	ŋaj	ŋzk
tima	timaq	tmma	gimw
ibwanggogi	ibwanggmgi	ibwanngoei	ibwznggogi
mabocco	mabocco	msfoccl	jaboxco
bura	buwa	buca	gura
lucat	luctt	iucay	muvaf
aribe	aribeq	adlbe	arobe
kalega	malega	kapfgs	mamega
kingi	kingd	gingi	kingn
mudoŋŋe	muuoŋŋe	mudlŋŋw	mudoŋŋe
dayamon	dayamonj	dayajon	dayzmon
purro	furro	pueri	pyrrk
giworo	gitoro	gkwirk	giqoro
aretta	arettr	anrtta	arrtta
geno	gnno	bejo	beno
abaani	abaanq	afwani	andani
twoddo	twobdo	hsoddl	twpdro
omiyo	omiyj	omito	pmluo
wukwe	wuiwe	wykae	ahiwe
ryangge	ryzngge	ryabbre	rtangye
ocan	oban	oczj	lcxn
gulega	gulema	gipsga	gilfgs
wece	wecj	wwxe	wese
bikelli	bwkelli	gioellj	bikwlpj
lum	tum	luj	phm
apakka	apakkar	xpwnka	apakkz
tong	tpng	tung	tlnf
ginyak	gsnyak	gjnydk	nintqk
imaki	imaui	ihzki	imxlj
gulunynye	gulunnnye	gulunfnyf	guluhynte
icimoo	icimoz	icimml	ivlmpo
ico	icoc	ick	ici
tittiwa	tittkwa	tkytiwz	yitriwa
gileyo	aileyo	giosgo	gokwyo
dogola	dognla	dpbpla	clgopa
idogola	idogona	idpgola	idojola
gumedo	gamedo	fujefo	gumfcp
koŋe	coŋe	joŋr	klŋf
gweno	gwena	rwsno	gweno
irukki	hrukki	irikkm	irjkki
atalla	atflla	qtqllw	atqipa
maniye	manqye	mznlje	maniye
belle	bezle	nelpe	bflof
abutkia	abutkiay	abjtlia	abutjua
rye	rbe	fye	rts
giywee	xiywee	giycfe	guywsd
lingling	lwngling	iibgoing	lkgglihg
kwa	kwh	kwz	jwa
tongge	tonggel	fonhgw	tkngge
mony	moiy	nkny	moni
nyiŋi	ryiŋi	btiŋi	nykŋi
giywayo	kiywayo	gigeayi	goywauo
watweyo	watweyu	wqrqeyo	qstweyp
aŋol	mŋol	aŋoo	aŋim
guŋiyo	gwŋiyo	ghŋlto	tkŋiyo
bityeko	bitysko	njgyeko	bitysii
dog	dot	dob	wog
panyaka	panyake	panyqka	panjaoa
ojany	ojpny	ojxnt	ouwmy
wucoyo	wucovo	whaoyo	wycoto
gulwokogi	gulwgkogi	gupwpkobi	hhlwooogi
amari	amsri	amcri	amwri
ocego	odego	iceho	jcrgo
gutiyo	gstiyo	huhigo	gjtlyo
guring	gurbng	gnrong	gkdihg
lwenywu	lwenywuw	lwevyau	lwehywu
waturo	waturn	qayuro	wxtueo
bitiŋe	bitiŋek	birlŋr	bigoŋe
miŋoginu	miŋognnu	miŋoglgu	miŋltibu
ludito	luditoy	pudoho	mudiyo
gulegowa	gulemowa	gulehlqa	yulerlwa
otigoni	otigoxi	otoyono	lginoni
kocea	aocea	nkcea	koxqa
lakworwu	llkworwu	laoqogwu	makwoewu
bugatira	bugatirv	bugztlrw	bugqtiba
wutiŋo	wutqŋo	futiŋo	witiŋl
otwoorro	otboorro	otwiirro	oteoirro
lwow	lwdw	pwoq	leoe
speke	spske	spejw	sleie
gabbe	gagbe	gsbve	ganve
ogaane	ogaanj	ogqahr	ogaanw
yelle	ytlle	relle	ytole
timo-ni	timq-ni	tiko-nk	tomo-bi
ocwakgi	ocwakgim	lcqakgk	ovwxngi
katic	katib	kztiv	lqtic
buur	buur	guhr	buug
jol	jml	mol	nol
cwaargi	cwaafgi	seaargj	cqaadgo
lil	lin	lii	lio
gwenoni	gwenani	gwebogo	gwrnonj
ywii	ywiq	uwii	ywii
diricatherefore	dirlcatherefore	diricaehercfode	diricatnfrrfoee
wacikke	wacimke	dasjkke	wadnkke
guoo	gzoo	guoo	gukp
okwinyo	okwunyo	kkelnyo	okzimyo
gwet	gwetu	hwet	gser
gwangge	gwangee	gwaggfe	gwanvye
kwcdgi	kwcdgix	kacdui	kqcxfi
giryammogi	giryammpgi	gisyammohi	gugyammlgi
gulwenynyo	gulwenynyd	gulwehyjjo	guiwemynyo
alor	alop	wloe	akor
okwogo	okwopo	omdigo	ojwlgo
rec	eec	rex	rec
giwor	giworb	fiwog	giwky
lawor	lawdr	lswof	lwwpd
bwoyo	bwoyl	bxoyo	beoyp
adunya	adunxa	wxunyq	arujya
adukone	aduyone	asukins	xdukome
obollo	onollo	pbomll	ibpmlo
boŋŋi	bokŋi	bjŋŋi	boŋŋi
tiponi	tcponi	tkpkni	gioono
nyuttiwu	nyuttwwu	nyktglwu	nyuytoqu
ijuddo	ijukdo	ljjrdo	iujddo
cerug	cerag	feruf	cerug
wucuŋo	wuculo	ducuŋl	eueuŋo
buffo	bmffo	vuffk	burfo
ibinong	ibznong	lbinkng	ibinogr
lumeerro	luoeerro	lumecreo	lumesreo
muŋe	muae	khŋe	miŋr
gucakke	gusakke	yucqkkw	ghcakue
otitte	otittc	ohutre	otirhs
