khuwakho	khuwarho	uhuwakhj	khuaalho
lilikhola	lhlikhola	liloihoia	ljlukhoka
mwamiliisa	mwamdliisa	jwxmiliiss	mwamlliosa
ufukhame	ufurhame	ufujhxne	uvuhhame
khwayila	khwayilar	lgwwyila	khqqyjla
kumuumu	kumucmu	kunkuhu	kumuimk
umubowe	umhbowe	uiubpwe	umubpww
khubalekhuulila	khubalekhuulile	khkralekhukmila	mhubalelhkuolla
namanyile	namaneile	hqmanyiie	nxmanjilr
barumanisa	baruqanisa	barhmanizw	garumahisz
mukhureebelesa	mukhurbebelesa	mkkhureegrlesz	muknureebfoesa
mwawulila	mwawulilag	mwswhoila	mwawujika
babaalisa	babualisa	bqbszlisa	bavawlisa
tselelele	tsmlelele	tselroepe	reeielele
babanyoowa	babanyooua	nahanuoowa	bagwjyoowa
balinoma	balinyma	bsljnona	halinlma
mubawonese	mobawonese	mubawonecd	jubawobese
kandereera	kandeweera	kxneereera	kandffedra
babafuuriwile	babafuuqiwile	habafuugiwllf	bwbqfuurlwile
byaalo	byaall	bjaqli	byaaoo
kameelu	kaheelu	kwmeely	kqneelk
ulisoolana	ulpsoolana	ulispooanz	uooskolana
inyuungu	inyumngu	ibyujnbu	inyuungu
khukiyila	khuliyila	kgukiyloa	kfukiyila
alikhwikhakho	alikhwiahakho	apiitwikhakhk	amikjwikhakml
bubwakila	bubwaxila	bkbaakils	bubaakioq
khulomela	khulmmela	khulpmeoa	khuponela
bibiliibwa	bibiliibwab	gibiliinww	blbiljjbwa
khuswala	khutwala	ihkswaka	ohucwaka
khulya	khllya	knuljq	khulyq
babewaanayo	babewaanayol	bahedaanwyo	hahewaanxjo
bofwaasamo	wofwaasamo	fofwzasqmo	bogwaaswho
uwafuura	zwafuura	uwafhkra	gwafuura
mwombekhane	mwnmbekhane	mxomhekhane	mwkmbskgaje
nakhekoomba	nakhekoombau	gakhfkoombx	hanhekkomga
kwawona	kwawrna	nwaqoba	kaqwoba
ukhalaangatsaka	ukhalaangrtsaka	ukhalaahgatswkq	unhaiaangaysaiq
mwiwaneyo	mwrwaneyo	meiwdneyo	jwiwanwyo
bukulwa	bukukwa	gukukqa	fulilwa
shiibi	shlibi	whiibo	smiinj
kimikoongo	krmikoongo	jknikoongo	oimiklingo
uwuntsikhoyesa	uwuntsikhoyesak	uwugtwikhoyesa	uwjntsijhkysxa
mukhareera	mukhareesa	muiharefra	mykhadeerw
khabonelo	khaboxelo	khzbpneoo	ohafobelo
s'alifuurawo	s'alifuumawo	z'zlifiuraso	s'zliguurawk
sishakholebwa	sishaoholebwa	sichahholdbwa	sichqmholebda
lulukhoola	lulukhoowa	pulhkhokla	lukkkhopla
kumuunyu	kuyuunyu	kkmujhyu	kjkuinyu
baalekha	baalekhu	baziwkha	vawlfkha
irama	iramaj	irxha	krqka
kakhuliinda	kakhuliindaf	kzkyuliindw	isohuliinva
khutakhawo	khutakhawo	ktutakbado	khutamhqwp
uwungana	ufungana	udungznq	uwunfanq
khumwoosha	kiumwoosha	khymwoisma	khumwplwha
wawonesele	wawondsele	wadinedele	eawojeseke
watsukhilila	watsukhikila	wxtsukhilolz	wataukholjla
shishibashingilila	uhishibashingilila	chishibazhjnrulila	cmisjibashintupila
wahandalalila	wahandaralila	wahamdalalimz	wahsndalwiila
kimyoyo	kimyoso	kihypjo	jumhoyo
tse	tsv	tss	tqr
pafosi	paftsi	lanosi	paeodi
bibifwotsola	bibgfwotsola	bjblfwpfsola	biuifwotsola
kubooshe	kuboosqe	jibopshe	nhboosje
indikhuwa	bndikhuwa	ibdmkhuwa	igdikgusa
kukwashe	kukwadhe	kujwashf	kuiwsshd
bamuboone	bamuboqne	bamkvoonw	bamuboonr
mumubamo	wumubamo	jukybamo	humibaml
ewuumile	ewuumilek	eeuumilt	fwuimilf
kholatsaka	khjlatsaka	khpoatsaia	kholatszoa
alifuniakikhaka	alifuniaknkhaka	aiifuniqkikbzna	soifunixkikhakq
busa	busj	fusa	buse
babakhenjila	babjkhenjila	babakhenkils	bqbajjenjiia
bamuyilila	bamucilila	bajyyikila	banuyilklq
lukiingi	lukiingii	pumikngi	lukiimgu
khakheene	khmkheene	knakjeeje	khakhtsne
indaambisibwa	indaambisibwab	insaxmhisigwa	ibdawmbisibws
n'ubuya	n'upuya	g'ubkyx	n'kbuua
kawona	kawons	kadpma	kaeona
khukhuyeeta	khukhuseeta	ohukhuyeeta	jhiihuyeega
khubasitowelela	khubasitoweqela	uhugasutiwepela	khubawitpwglema
kafwanana	kafqanana	ksfwajaja	kzfwananx
shamururakho	whamururakho	shzyurugakho	shamuhurzkho
aliinde	iliinde	alolnde	aliinww
khubatsake	khubatsakz	knjbatswke	khuhatsakw
akeludama	akeluwama	zleludamw	akeludaja
khwenywe	khwenywl	khwehhwf	kgwejtwe
bamunywekhe	bamunywewhe	bamugywelme	gamunywfkhd
ndwale	ndwalev	nxwzme	ndqaie
shilaamo	shilaumo	shilzzho	snulaamk
teberiyo	teberiyoo	gdneriyo	yebsriyo
mulihela	mplihela	nhlihdla	muoihels
wababoolela	wababoolrla	exbaboolelx	qebaboolelx
mwokesanile	mxokesanile	mwouwsahile	mqokesanuks
babakyeendatsaka	babakyeendatsakr	bwbakyeendatsxmq	bahamyeensatdaka
s'akwaarakho	s'akwaacakho	s'akwzarzkuo	s'auwaarzkhk
kaatsya	kaahsya	kaatsda	kaateja
oyo	oho	oyk	lyi
naboone	nuboone	kqboone	mabopge
lwabo	lnabo	lsaho	kaabl
yetsuulemo	yetsuulkmo	yeteuuleio	yftsjupemo
shikhwakhila	spikhwakhila	shllhwzkhila	sbijhwakhkla
baleekela	baneekela	bakeekela	balefkelx
urumane	urumape	hrukanf	jrumane
byaniinisibwa	byanitnisibwa	byanuinksjbwa	vyanijnisigws
n'enjilatsaka	n'enjilatsakaf	n'enhllateakx	n'enjipqtcaka
khubuyilisa	khubyyilisa	kmubuyilifa	khunuyilizz
mafura	cafura	magyra	mzgyra
kakeenywe	kakeenyfe	jakeengwe	kwkeenywe
welootsa	wglootsa	wgloptsa	wsooltsa
ibaatsake	ibaaasake	ifaatssne	ibaagsake
alifuniaka	alifuniakq	alifumixia	wlituniakz
bisaayumba	visaayumba	bisaayhkbx	busazykmba
khusalanisa	kzusalanisa	khusalanksa	kyisapanica
ukanikha	ukanikhag	ukwniihx	ukanjkha
damari	damasi	damsfi	damatl
bubufuura	buoufuura	nibjfuura	gubufiura
yesu	yesup	yrsj	jssu
wabakobosa	wabakobosap	dsbskobosa	wabsiobosa
khubatuuma	khubhtuuma	khubatjuna	uhubatuujw
alyatsaka	alnatsaka	algatcana	alyayswna
koolile	koolili	noolimf	koplilf
s'ulimbonakho	sgulimbonakho	a'ulkmbonwkgo	s'umimbogauhk
bafuniaka	bafpniaka	bafugoaka	bwfumiaka
kimifu	kimsfu	ijmifu	oimkfu
siyabawo	biyabawo	sitafaqo	xiyabaeo
lweefwe	ljeefwe	iseevwe	lweegwe
uraamba	uraamda	urxanbz	krwamba
akhuwonese	amhuwonese	xkhuwonwqe	aohiwonesd
wamanyile	bamanyile	wsmanyklw	wamanyime
akheekha	akhegkha	akheeifa	akhfekga
kubisi	kubici	kuhiwl	jubksi
ushuusa	uthuusa	ushiuda	jsbuuea
bamalilisa	bamalilist	bamaliliwa	bwkaliliss
n'umwiire	l'umwiire	h'umwiifs	n'hmwiife
khukhubowa	khukhubowo	uhlkhubowa	kbkihubowa
busaayi	bnsaayi	fussqyi	bussayo
basaalikha	bataalikha	bzsaalioha	basaalilbw
yopa	yoia	yopa	toka
ukakukuula	ukikukuula	unakukuuiw	umakujuula
kukusiikhibwa	kukusiikhibwas	kkkusilkhubwa	kuijsiikhubwa
aliraambisa	aliraambisah	aligaakgisa	alieawnhisa
abeyakhile	ajeyakhile	ageyakmioe	abeyamhile
akukuula	alukuula	zmukjula	slunuula
ntsakamo	nxsakamo	gtcakamk	btsakami
shareebwawo	shareebwjwo	shaweebqawo	sharecjwawo
lulwoola	luiwoola	lyiwoolx	lupaooka
khumukholisaka	khumukhylisaka	khimukbolisaia	uhukukukkisaka
babaaliitsa	yabaaliitsa	bcbaaljitsa	bavaaljitsa
b'omwana	baomwana	b'kkqana	b'omwans
umushakha	umushtkha	umusnskya	umuahwkhz
mbonekha	mbonekhm	bgonekha	obknekha
mukhekhala	mukhukhala	kukhwkgala	mukjekhalz
nabaweele	nabaleele	nacwweele	havawwele
n'akhuloma	n'nkhuloma	m'akyulkma	b'akhulkma
bayinjila	bayinjilal	daginjila	bqyinjlia
afwe	afwej	agwe	afqd
mwiyiinga	mwxyiinga	mwiyjibgz	mwiyiknra
byaweele	xyaweele	fyswwele	byasqele
naleekelatsaka	naleekelatsada	nalrenelafsaka	maieekelatswka
bilibowebwa	biqibowebwa	biligowehww	viliboqebda
bokesanise	dokesanise	binesznise	booesanise
lwoowo	lsoowo	kwoodl	lwoowo
walusoowolayo	walusoowolcyo	walysokwokayk	walhsoowopwyo
bashuusibwa	bashuusibha	bazhuusihda	baxyujqibwa
bibiifwana	bibiiewana	blbiifwcna	bibilfdana
mukha	aukha	mykta	mjkha
wakyeniyilakho	wakyenixilakho	wamjegiyilamho	wakyejiyulaknl
shishibaseya	shisvibaseya	whiwhibaxwya	shishubadeua
mikhoosi	mikhaosi	kikuolsi	mkjhoozi
bamaayi	bazaayi	hqmaayk	bamqqyi
betsukhulu	betsuxhulu	hetwukhhlu	betsukbulu
alitsila	alttsila	alltsloa	alitsips
lube	labe	oybe	lybs
urure	ururf	urkee	urkts
wawulile	wawnlile	wawuklpe	qawulkle
khakhafuurayo	khakhcfuurayo	khajfafiurayo	jhauhafuygayo
kumulyango	kumulxango	kumuluajvo	kumulhanbo
nabulebe	dabulebe	natukebe	nanulebs
bashiyokesela	bauhiyokesela	bashkjokdwela	bxshiykkwselw
khubirisakho	khubirisakhv	khubiriqakjo	khkboriszkhp
kamakhono	kamakhjno	ksmakhinp	kamakhknp
neyapoli	nerapoli	neyakook	neuapolo
bakhalitsemakho	bikhalitsemakho	baojaliyswhakho	fwkhalitcejakno
khumunyilwanisa	khumunyilwaniwa	ihuminyilwabiss	khimynyilwsmixa
eri	ere	erk	ddi
manase	oanase	mamadw	mansse
bibamalatsake	bibamjlatsake	vibamakatwaue	nibamalatqakr
amwikulilawo	amwikulilawq	amwikulukawo	zmeukulilaso
shekyelile	shekyeltle	shejjelike	suekyflile
khusoolanila	khusoolvnila	khucoolajkla	khisollanios
welilemo	welilemob	welilamk	delllemo
shishibiimba	shishibiimbab	shusbibikmga	shiahibijmfq
lufutu	lufutuf	oyfhtu	kuxutu
shikhakhwiyangisa	shgkhakhwiyangisa	zhikuakbwitangisw	sgikhakhwiyaggiaa
najulila	najulilc	nsyulila	nwjulilz
bababakholesa	bababakuolesa	hahabakhopesz	babafzkbolesa
weerire	weerirei	qeefird	deeeird
mafubukho	mafubukhk	mafugujto	mafubyjho
kamare	kamane	kamqre	kwjarf
babashingilila	bzbashingilila	bxbcshingilula	babashhmbimila
uwambisa	upambisa	udambisa	udsmbisa
wamulamusa	eamulamusa	wamklamusa	wsmulamusa
babusanila	bagusanila	banusznkla	bqbusanopa
babasibula	babasibuli	babqeibuls	babacibuja
kauda	kafda	kayxa	kauda
siinga	hiinga	siihta	xiibna
mwamanya	mwayanya	mswmanyz	mwamamua
wawonesebwele	wawpnesebwele	wawiheswhwele	wawonexenwele
y'omukoosi	y'omukeosi	y'ijukoozi	y'lnukoosi
khuwewo	khkwewo	ihuwfdo	lhuwrwo
uwashiikhalakho	uwkshiikhalakho	uwasgiokhaiwkho	yaashlikhakakyo
wesutaka	wesvtaka	wesitalx	wesurakx
imbekoontselela	imbekoontsulela	imhrkoontsfkela	umbskopntselwoa
khufwamo	khafwamo	uhufasmo	iyurwamo
uwanduma	uwanduoa	uwsnzuma	uwandkna
makhula	mamhula	mammula	hakyuma
baŋoonaŋoona	baŋoonaeoona	bxŋoonaŋpoha	baŋoonaŋoons
imbarumila	imbqrumila	omfarumila	imbarjmilz
khusila	khwsila	khjaioa	khuzima
mwantsakaanisa	mwantsakaanish	mwanesskxanisa	heanheakaanlsa
boombi	boomei	boohbi	bookbj
shiilima	lhiilima	zgiiliha	ehlilima
naleme	nalemem	naodne	valdme
musaale	musaalo	miswame	jusqals
bubwaabwe	bubwaubwe	bubwasfws	bubwaavwe
alikobolela	alikorolela	alikkbkleka	alinofoldla
beenywe	beengwe	bweggwe	bednyde
s'alifuura	r'alifuura	s'alifuiea	s'aiifuufa
bakhalilewo	bauhalilewo	bakhwlmlewo	vamhwlilewl
eena	tena	seha	eena
zakayo	zakayoh	aakzyl	aakafo
weyambaasa	geyambaasa	weyameqasa	qdyambaasa
ye	yer	ye	ye
firigiya	firigifa	finigiyq	flrieiya
balomatsaka	balomatsaka	baiomatcakq	valimataaks
bwabwo	wwabwo	bwqbai	fwanqo
warama	worama	warana	waeajs
bamubona	bamubonv	banubknx	bwjuboja
sibamanyile	sibbmanyile	sibamxnyiie	sibwnanykie
khuba	kpuba	kmuva	uhuvs
kw'omwana	lw'omwana	kw'omwaia	nq'omwxna
khusaambula	fhusaambula	khysawmgula	lhusxambkla
ibweeni	ibweenb	jbdeenl	ibwefnm
sibalimuwulilisa	sibalimuwulilina	skbxlimuwuljlisw	sibalijuwkliliax
mwakhalile	mwakhalize	mwxuhalioe	nwakhaiioe
tsintsila	tyintsila	rsigtsioa	rsintzilq
tsaselengela	qsaselengela	tsadriengsla	tsaqelebgwlq
ukhawambibwa	ukhawumbibwa	uutcwambibwa	kkhzwambibwa
shishenjilatsakakho	saishenjilatsakakho	syiehfnjklavsakakho	chisjenyilatsakanhp
y'omufarisaayo	y'ooufarisaayo	t'imuvarosaayo	y'imhfadisaayi
babekoomba	babeooomba	babrkoikba	babskokmba
kukweenywe	kuwweenywe	khkdeenjwe	uukadenywe
watseyakho	watssyakho	watseyqkml	watxsyqkho
bibilomebwakho	bisilomebwakho	bibomomebdxkho	bibiulmenwakhl
balikhamurusakho	balekhamurusakho	beiikhamudusakgo	balikbamhducakho
mukware	mukwbre	mykwwfe	nulwade
khwalekhaanisibwa	khwalerhaanisibwa	kjwakwjhaaniskbwa	khwqlekhaanuwibea
alisaalibwa	aligaalibwa	alissamibda	zlisazlibdw
mbikho	mhikho	mfikul	mbokno
yifuula	yifuulb	yofhulq	yifkhlx
khumuwoona	whumuwoona	khumusooua	ihumiwooha
imbakholele	imbvkholele	ijbajholwle	imbqkhokrls
tsitsase	tsitsasek	hsifsasr	tqitsxse
ndimanyila	ndimaqyila	nfimahyila	ndlmanyipa
umuyinda	umuyindau	umyyimdz	ujyjinda
khuwuliile	khuwultile	khnwuliole	inuwuljile
lifukhamile	lifukwamile	lofukhamile	llcukhamlle
lyeefwe	myeefwe	pydefwr	lysefae
ola	lla	oma	lla
ikhoombi	ikzoombi	ijhoomfj	mkhkombi
muyinga	muyingv	juylnra	mujjnga
lilyekyela	lilyekyell	kilyekhels	oipyekyela
baabawo	baqbawo	haabawo	baadzwo
belaanga	belaangan	belaagda	nelqanga
liwuumba	aiwuumba	liwuimhz	liwuumba
shifukiilisibwa	shijukiilisibwa	snifukiollwibwx	shitujiulieibaa
muumanyile	tuumanyile	muymahhile	miumwnyile
baliitsa	baliitza	balkitsx	baliitwa
wababonekhela	wababorekhela	wavahohekhela	wanqbonekhela
bibibonekhela	bibibonekjela	bjbiblnekhdma	bivkgonekhfla
abawangase	abawangame	abawantzse	abawanfase
umuleekela	umoleekela	kmkleskela	umuoeekelw
wakoboole	wakobooleu	aqkobooke	wanobokle
siwekhoyela	niwekhoyela	skwekhoyeka	sowfkhlyela
khwebiliile	khwebiliiue	khwebillile	khdebkloile
bokesana	bjkesana	nokeqxna	vimesana
biikhalimo	biwkhalimo	bhikhalimp	buiuhamimo
kamaŋaanyu	kamaŋaanyum	kajaŋaznyu	kxjaŋxanyu
wiyila	wiyiwa	wjyipq	wmykla
lulweene	lulveene	muoweend	lulwfege
umwitsukhulu	umsitsukhulu	umsitsuohuiu	jmwktsungulu
lihela	liheua	limela	oiheia
umufarisaayo	umufamisaayo	ukufariaaagp	umudarusaxyo
bamaambe	bamaambey	fzmaamve	namaambe
babekholisa	babekholiwa	babenhllisz	babskhopisw
shikopo	sfikopo	wnikopo	sgikooo
khukhwama	khuhhwama	kbikhwamx	khkkhwaha
mukhasasulatsaka	mvkhasasulatsaka	muknwsasulatsslw	mukuaxasumqtsana
atsowela	ptsowela	afslaela	atsowepz
byantsira	byanzsira	fysntsirw	hyantzira
weyikinile	wedikinile	weyokinile	wegikijilf
uwamuliinda	uwamlliinda	uaxmuliknda	uwsmhiiigda
wekaana	wekaanaz	wwmzana	wdjaanz
seshibayilila	seshibayidila	swshibayolols	seshitajililq
mwamboone	mwambooie	mdameoone	mwwmtoone
wayiitsa	waiiitsa	wayiitss	wsyiltsw
kikikhoyesa	kikikhoyepa	miiiihoyesa	kikiuhotesw
bawewo	bfwewo	baesso	naeewo
amuyeete	amuyeetek	wjuyfete	amumerte
siwafwile	sywafwile	siqavwkle	qisafwlle
byelukha	byelukhaa	byepujna	byelyuga
mwombekha	mwombekhan	mwokvenha	jwombekhq
kekhaale	kekhuale	uenhaale	keihaale
shishiitsa	shishintsa	shostiitsa	suishiigxa
khakhiile	khakhiilo	khsihiipe	ohakhoile
buyudaaya	buyudaayd	buyudaagc	bkyudxaya
shibareerere	lhibareerere	shibardsrrde	shibarrerrrf
lilifuura	liltfuura	liljfkuda	liiifuuba
kyamalile	kyawalile	kyamaiipw	jtamaliie
malile	malibe	maoime	makjle
bamwisaaye	bamwisaayek	bzmwisaayd	bamwisqaye
wasaalikha	wasaalikhaq	wasxzliuha	wasaajiiha
umwiifwi	umwiifwb	umqiuvwi	uhwijfwi
kalilila	kalililc	kallijla	kalolils
isiise	isiase	oduise	isokse
kimisaango	kkmisaango	kimisqanri	kimlsaajgo
umuro	usuro	umueo	kmuri
simbakana	simbarana	skmbakaka	cimbakamw
khuryeena	whuryeena	kmutyfena	khiryeena
ngobole	hgobole	ngogomr	ngpbole
khuweentsa	khuweeftsa	kyuweenysx	khkweejtsa
tsitsikhafwa	tsdtsikhafwa	tsirsukbafwx	rsiyskkhafsa
likhomyaasibwa	likhomydasibwa	llohomyxasibwx	liuhomyaasibwz
inyoola	inyoola	ijyiols	inyookx
mubyakaaniseyo	mubyakaaniseco	mybgakaanicfyo	mobyakaatiseuo
keesi	keesio	kesso	oedsi
yareerewele	yareerepele	yxreedeeele	yarwfrerele
babakhalibonakho	babakhalibrnakho	babakhslifpnakuo	vabakhalkbonakjo
khukyela	khukyelam	knuljela	khukyelq
mwamwakaanila	mwamwamaanila	msamwajzanila	mdamwakaanlld
atsiinisibwa	atsiifisibwa	atsjiiiskbwa	wtsiibisinwa
khutsuntsumilisa	khutsuntsumilisk	khufsuntqjmipksa	jhutsuntaukiluda
babesaaya	babesauya	babdzaata	bwheszaya
washibona	wxshibona	saxhiblna	wssmibona
kulimufuura	kulimufuura	yjlimufuura	kuluhufuura
shishimenyamo	shihhimenyamo	chkehimenysmo	ahishimenyqjo
zebedaayo	zebedaayox	zebegasyo	zsgedaqyo
y'omuyindifu	y'omuyindifur	y'omkyujdufu	y'omuuincifk
babamumiinyaalila	babsmumiinyaalila	vahamumiovyaalila	bzbamumiiggaxljla
bayeete	bayeese	bqydetf	bayeetq
balekhawo	baiekhawo	baltktawo	baleihawp
sibaafukiilila	sibazfukiilila	skbaqfukiplila	sifaafujoklilz
akhakakho	akhakakhp	xkhzoakho	anhakakhk
shinyolikhana	shinyxlikhana	syinyolijhqna	shmnuilikhana
lyaato	lyaatob	luaato	lyaark
khumukhalakila	thumukhalakila	khkmukualxkioa	ohuhykhalakuia
wikanakaane	wikananaane	winanskaane	wikenakqane
mulila	mulira	mkiila	muljlq
babamuliindilila	babamulilndilila	bwbwmukionxilila	nabamuliindilimw
abalekhuulile	abalekhuulilee	avwoeknuulile	xbsldjhuulile
bamuloomba	bamuloombap	bamuloumbz	bamylpombq
nimube	nimuqe	nimhbq	njmybe
mukhatsyakho	mukhatsyakhy	mulhamshakho	mknhxtsyqkho
uwakhulaanga	uwakhujaanga	usakthlaahga	udainulwanga
barakho	karakho	barskgo	vaeskho
lililoma	lilnloma	lilplkma	lililpja
khumukhalila	khumukhalipa	khumuuhzlyla	khumumhxolla
umusiku	umzsiku	umuakkh	imhsoku
uwawoombesebwa	uwawoombesebwaz	ussaokmbesebwa	uwaakombrsebwq
khutsemebwa	bhutsemebwa	lmuteemebwa	khutsejebea
sibili	sibbli	sibilk	sibill
linyale	finyale	linmale	kimyale
akhuwanayo	akhuwanaro	anhuwanagl	akhjwqnayk
weyikamilile	weyckamilile	deyikwmiiile	weyjjamliile
ambilato	amgilato	amblixto	smnilaro
imbonekhe	imbonekhef	kmbogekne	inbonwkbe
babaamala	babaamafa	bavzanala	babazmaia
ukumisatsaka	ukumisetsaka	jkumissysakz	ukkhisqtsama
yisayo	yisayz	yiwsyo	jissyo
bamanye	bamanyef	bamxnyd	bzmagye
balilyamo	balilyzmo	bamilysmp	falilyahl
bamuwaambe	bamubaambe	bamuwaamfe	bamywxambe
wamunialilisa	wamunialilisac	wahunoalipksa	wamubkxlilisa
saulo	saulz	saklk	dzulk
andulo	andulo	qbduli	ansjlk
befumalikha	befumalikhao	hzfumalikha	bfrimaliuha
enaanayo	enaamayo	rnaanayl	enaxbayo
mubalibwile	mubxlibwile	mkbalibwile	mhgalibwlls
irura	irdra	leura	lfura
shirura	shcrura	wmirhra	syirhra
ulikhuliyila	ulighuliyila	uoiouuliyiia	hookhuliuila
ubakhalila	uuakhalila	nbaktalila	uvaknalima
mukheŋuluŋuunya	sukheŋuluŋuunya	hikhdŋuiuŋuunya	mukheŋuluŋuujga
babekhoomba	babdkhoomba	baveknoomba	babeihoimbx
mwanuulana	mwanuclana	mwxjuupana	maahiulana
makhono	makhonou	makbojp	malhono
kakarekeeresa	kakarekxeresa	kamafekwedesa	kwkaweoeeresa
nariire	nariirn	bsriirr	nsriirv
wamukanikhileyo	wamukanikhileyox	wxmukzgukuileyo	wwmukagjkhlleyo
alilekha	alilekxa	zlikekha	aiilwjha
muwulile	mupulile	mywupils	muwukils
babakilile	bwbakilile	fabakklils	bahakililg
s'uliruramo	sguliruramo	s'ulirirwmo	s'ukirhrami
akhabakhakilisa	akhabazhakilisa	akhzbakhakimiss	akhabskhzkikiza
babeelamo	btbeelamo	baveeiano	haneelamo
khurusibwakho	khuruvibwakho	khudysifwakho	hhurucibwakhi
akhakibwa	akjakibwa	akgakinaa	akhakibxs
shiwanwa	shiwpnwa	qhuwanda	shiewnqa
banyoole	panyoole	bayuoole	vanyoone
wawukhanilemo	wawukhanileno	sawukhabilsno	waaukgamklemo
tsiindi	fsiindi	tdimndi	tqiundi
shishililanile	shishililunile	sjishiljpanilw	shishililqnolf
ukhufunaana	ukyufunaana	ukhufumqaja	ukhuvugaana
nanyoolatsaka	nhnyoolatsaka	nahyooiatswja	nsnyiolwtaaka
kuza	kuaa	kysa	ujza
sifukiilila	mifukiilila	sifikjiljla	cufikjilila
bukwanyaanga	budwanyaanga	bukwanjqanys	bumwanyssnga
wamalayo	wamaeayo	aamclayo	wajslayo
kyaabwe	kjaabwe	myaqbde	kyaxhae
nabokesanisila	nabhkesanisila	navojesanisjla	nabojesaniwpla
nabyo	nkbyo	navho	nzbyj
khwakabananila	kawakabananila	nrwalabananila	khwakabqganola
wakhaka	wakhaqa	wxkhaka	wajhaua
abawambile	abawamzile	abawsmbjld	abaqambime
mwetsusile	kwetsusile	gwetsusjle	nwetshsiie
imbuya	ipbuya	lnvuya	imfuyw
mwitsusibwe	qwitsusibwe	hsitsueibwe	mwkhsusihws
mwikhoye	mwikhoyt	nwkkmoye	mwuihoys
kimilele	jimilele	komileme	kimiidlr
bibimufunaanibwa	bibimufinaanibwa	bjgimufunxanibwa	gibimufunasbinwa
aluno	atuno	aluko	alino
bisindakilila	bisdndakilila	biwunrauilila	vieindakilils
uliila	uliilac	ulmilz	iliioq
khubusaasa	kxubusaasa	nhuvusaqsa	khubuswasa
kelesene	keleseie	kelefeme	kfleseye
likyeekhe	likyeekher	pikyeskhr	likyfruhe
shimiliwu	shimiliiu	chihkliwu	shihilowk
bwitsusibwile	bwitsusibwile	bwotqusinwils	bwutsusidqile
lisiina	lisitna	lksjjna	kisoina
wemikhile	welikhile	sfmiohile	wdmihhile
bwonyene	bwoncene	bwogyene	bwinyend
khurumanayo	khurcmanayo	khnrujanayo	khufujxnago
aliweebwa	aliwdebwa	zliwfebww	akiseebwz
bakhafukiilisibwa	bakhafukiilisibma	gzkhafukiimiskbwa	bwnhafukiuilsibwa
wabareeba	rabareeba	wanarwwba	wanqreeba
nitso	nxtso	nkgso	nitao
khakhaali	khakhaali	ktakhaani	khslhaali
shiwaanwa	shiwaatwa	showaxbwa	ehidaanda
lilimo	likimo	oilink	lllink
khukhwilukha	khukhwilukhq	kmhkhwiljkna	khhkhwilumhz
shisheene	shisheeke	shuzhfene	srishedne
bwawona	bwrwona	gwswona	vwawknz
murabilatsake	murabilatfake	jurqbilatrake	murznilahsaoe
kayinani	kakinani	kayubanj	uahlnani
umubooleli	umubooleli	umubokkemi	umunlolfli
basaala	easaala	bacqapa	bwsaalz
likaali	likayli	llkaali	mikaaly
bufumu	bujumu	bheunu	fufkhu
babakhamanya	babakdamanya	bxbakhamznya	babwkhamanya
nakhuloombeele	nakhulodmbeele	nakhuliomgeele	makmuloimheelf
alaambisa	acaambisa	aiaamgisa	alzamhisw
mwakalusa	mwakalusa	mzakwlusa	jwaoalusx
imbashebusatsake	imbashebysatsake	imbacjevusxrsake	lmhashehksatsane
mwokesana	mwokesanb	mwikfsaba	mqikezana
babakharomboosa	yabakharomboosa	babakhaeombkkcz	babaihafomboosa
bakhalinyala	qakhalinyala	bakbskinyxla	bakhwlinyzla
arakikhila	arakikzila	wrzoikhila	qrqkikhila
uziya	uziyac	uzihx	ualta
niintsyakho	niintyyakho	nijbtzyakho	gjonrsyakho
uwafukiilila	uhafukiilila	uwafguiimila	usafikillila
naakaanisa	naakaagisa	nxakawnosa	naakaanjeq
ulilyakho	ulilyukho	ulklyzmho	ukilyakhi
khwakhakakho	khwakhaaakho	khwaohqjakhp	khcamhakskho
khukutimisa	khdkutimisa	khukuyimusa	khunkfimisa
khwonakisa	khwonakisai	khwonajisa	khwojaulsa
wakabananila	wakauananila	wanabanxbilw	wqkabamagima
lyamwibotookhelele	lyomwibotookhelele	kuzmwibotookhdlelw	lyajwkhotookhriele
ise	yse	ize	uee
bapapa	bapana	faoqpa	nspapw
sheene	sheeme	sgdens	whedne
bawukhana	bawukhanu	baqykhaba	bzwukhana
kyekontselela	kyekontselelar	kuqkontselelq	kyekonyselelw
inyaanga	inyaangad	onyasngq	lhyaanva
ebuyila	ebuyula	ebjyupa	rbuylla
khubalolelela	khubaltlelela	khubaloleldiw	lhuvalklwlela
babekhoyela	babekhmyela	nabekmoyeia	bahekhihepa
uwanyoolikhana	uwanybolikhana	uwanypopukhaja	ueahyoolomhqna
khuteesa	lhuteesa	khigeeda	khhtedsz
byaamo	byatmo	bywamk	byqako
shishikulawo	shishikulawov	sjisyikglawo	chishikklawi
khulitubaasibwa	khulitubaasibwax	knulurybaawibwa	khulitubaasjbwq
khurekekhebwa	khurekekgebwa	khurekekhfbqa	ihuerkenhebwa
tsikhomo	tkikhomo	fwikhoko	hsimhojo
uloma	ucoma	uikma	ulous
lyeetsa	iyeetsa	kyedtsq	lyfrgsa
bafukiilisa	bafukivlisa	bzfukiolica	hafkkiukisa
uliwabila	uviwabila	uoiwavima	uoiqwbila
bubuloma	oubuloma	vubyloma	bybuloma
ntsya	ncsya	ngsua	ntsjz
