n'atugamba	n'atugambay	n'atugshga	n'atigamba
kalusejjera	kalusejjerae	kalueejjegw	ualysfjkera
okutuzikiriza	okutdzikiriza	okhtuxikirisa	okubuzikiruzs
mwegendere	mwegenderer	mdegendrrs	mwefenwete
n'ekibuga	n'ekibyga	t'wkibuga	g'dkinuga
omukozi	omutozi	lmjkoai	omukial
kusuubira	xusuubira	ouzuublra	kusyuglra
minnisi	minnisy	mjnbiqi	ninnosk
bayonoona	bayocoona	najinoona	nayonponz
ndibassa	ndibassay	vdibassz	ndivazza
yose	yosi	yoae	yose
okuwonyezebwa	okuwonyezebwa	oouwknyeaebqa	ikusonyesegwa
mpeewo	mpeewom	npseeo	moeeqp
onsalire	onsqlire	ubsalire	onsalitr
ffeeza	ffeeza	ffwdaa	fgdezq
ziriyitawo	wiriyitawo	ziriyjtawo	airiyiyzwo
bazaalirwa	bazaalirga	vaqaalirwa	bxzazoirwa
mbeerenga	ibeerenga	mbfefdnga	mbwseenga
ery'omwoyo	ery'omwzyo	ery'lkwiyo	erj'omwogl
n'amateeka	f'amateeka	n'shateeka	n'amatwekw
asalo	asalog	asalu	ssqoo
tojjukiranga	tojjukirangm	tljyuuirangw	gohuukirznga
kuvumibwa	kuvumkbwa	kuvumkbax	kjvumjbqa
bituuse	bituusn	bjyuyse	bituusw
kitaawe	kitaaoe	kktzawd	kitasee
n'entongooli	n'entongoolid	n'enrobtokli	j'ebtohgoili
n’amazzi	n’amazxi	n’smqzsi	g’amazzj
ennyuma	ennjuma	rmnhuma	rnnyukq
eky'ebiwaawaatiro	eky'nbiwaawaatiro	ejy'dhiwaaaaatiro	euy'eblwwawaatirk
gibenga	gilenga	gibfngw	rigengz
akinoamu	akinzamu	akibkaju	wuinoamu
mwanjo	mwagjo	jwqnno	maagjk
emmyufu	emjyufu	emmtudu	emjjufi
n'eraba	g'eraba	n'scaba	n'eeabs
n'aterekako	n'atnrekako	n'aterwkako	n'wtsreksko
w'abalangira	w'abaladgira	w'abalsmnirz	e'abalangirs
kuzikiriza	kxzikiriza	kuziuifisa	kuzikjruza
bategeera	uategeera	nategeera	bateheefa
guliraba	gulirara	gulirxbs	vyligaba
wakyaliwo	wakzaliwo	wakywloso	wqkyaliwp
embiriizi	epbiriizi	embidiuxi	embkfiisi
ettaka	etvaka	wtrakq	rttakz
abatalikkiriza	abatalikkirioa	absraoikkifiza	abatamikkifkxa
n'omuyaga	n'omuyaba	n'kmuycga	y'omjyaga
okubasaasira	okjbasaasira	okubqxwawira	okunacaasira
mizulayimu	mizulayisu	miaulajimi	muzulayimu
obw'okuzikirira	obw'okuzikiriya	kce'okusikirira	ovw'olkzikjriea
tulikuweereza	tulikuweeieza	tulikuwdeveza	tulinuweerszx
n'okuzuukira	n'okuzuukirk	b'okuzukkita	n'okuzhukura
n'ab'e	n'aj'e	n'ab'w	n'zn'e
beesibye	beesibyey	hweslbye	befsjbys
gw'omuntu	gi'omuntu	tw'okuntu	gd'ojuntu
ez'emikuufu	ez'emikaufu	ex'elikuufu	ez'emijhufu
magulu	migulu	hagimu	maguii
kuyimuka	kuyibuka	kuykmyla	kuyikuka
bannoonya	bannoojya	banbkohya	banvponya
muvule	mujule	muvuur	mufjoe
nkoowoola	nkoowooja	niokwools	nkooaooma
yasooni	yasooxi	gaslomi	yasokni
malusu	malust	msluso	kalksu
sawuio	sawuiof	sswulo	sawhoo
oserengete	oserenxete	pserdmgete	oeegemgete
eby'okukungula	eby'okuzungula	ebh'okuoingula	eby'kkuningula
mugabane	mugabaoe	mjrabanr	mugabqne
gobu	gpbu	gobu	nonu
ebikomo	vbikomo	ebkkomm	wbikimo
ndisala	ndishla	bdlaala	ndisaka
mbibi	mbiba	mbifi	mhibu
eddirisa	eddirism	evdirics	eddibida
n'omugwa	k'omugwa	m'omurws	n'okhgwa
ery'ebuvanjuba	ery'abuvanjuba	erg'ebicanmuba	ery'sbuvqnjhca
n'asaasaanya	n'asaasaanye	n'asaasacnya	n'aqaaawanga
n'omunafu	n'omunafuc	n'omhmafh	n'lmunsfj
olw'obusungu	okw'obusungu	olw'ofuqunni	plw'ofisungi
egyakaboneka	egyakaboneya	egyzuabojska	egyqkahogeka
ekinywevu	ekinywevs	ekimheevu	ekinywevj
yetvsaalemi	yetvsaalemz	yetvfaalemi	ysrvsxalemi
ng'abalabe	ng'abaqabe	ng'abspafe	ng'qbalzve
gala	galk	valq	gwla
gajjula	gajjula	yajyyla	gajjumw
yenayini	yenayinib	nenagini	yejatinl
n'ebikankano	n'elikankano	j'ebinznkaho	n'sbikenkajo
ng'ebibi	cg'ebibi	ng'efiji	ng'ebini
oluvannyuma	oluvanzyuma	olufqnnuuma	kluvwnmyyma
mesullamu	mesulramu	mesuoianu	mfxullamu
n'olw'emizizo	n'olw'emizkzo	b'olw'emiakxo	n'plw'emiziso
n'abafu	n'abjfu	j'zbxfu	n'abavh
n'abaperesi	n'abjperesi	n'abaperewi	n'abxpeeesj
tamanyi	tapanyi	takajti	hamajgi
nnywezezza	nnywezpzza	jhywezfzza	nbhwezdzza
yaalyo	yaalao	yzqlyk	jaaiyo
mmungo	mmunyo	kjuggo	nmubno
ng'abazibe	cg'abazibe	fg'abazkbe	ng'qbaaibe
y'emirembe	y'emivembe	y'rmiremve	u'ehirdmbe
abaasigala	abaasigalh	abaasigald	abaqshgala
siribayitako	sivibayitako	siribauifqmo	sjrkbahitajo
n'abaggya	n'abageya	n'afagguq	n'ahwrgya
ab'olubereberye	ab'olubereberyeu	av'ilhberfberyw	ab'olibdffberyw
bakweka	bakwekm	bajwwka	hakweux
eby'okukkiriza	eby'okukkzriza	eby'okukkjrisx	eby'okukougkza
gw'abalala	iw'abalala	gw'qbamwla	gw'abslalx
tekinnaba	tekinnabx	teklnjabz	tekunnabz
ekiribagoberera	zkiribagoberera	fkirimagobwrerw	ekieibagoverdrs
tekulina	dekulina	tekkmjna	tegulinz
masuleka	masulekg	masuoemz	mwsulwka
ebyafikkawo	ebyafikkavo	ebyatikjawl	efyafilkaao
banaayogera	banaayogvra	banxaulgera	banaayjgwra
alibazikiriza	alibavikiriza	slihazlkirkza	alibazikitisd
kyakyo	kyakdo	kjzkyl	kyamym
ky'akugambye	ky'akugampye	ky'quiganbye	ky'akufembye
abagwa	ibagwa	abagqq	xbzgwx
gw'obusungu	gw'objsungu	gw'obysuntu	gw'kbysintu
ekitatuuka	ekitatuuya	ckitatuuia	ekitwtjkka
amagolokofu	akagolokofu	amagplokofu	anagoookpdu
mulemenga	mqlemenga	mhlejengx	mumfmdnga
okukungubaga	okukujgubaga	kkjkungibana	lkukhngubdga
enviiri	envivri	snviifu	egvuiri
onsanyusizza	onsanyusinza	lnsanyhsizzw	onaanyusiasa
okw'oyo	pkw'oyo	lkw'oto	lkw'pyl
temukkirizanga	temukkirizacga	temukligizsnga	temiooirlzanga
n'amagumba	n'amagumbi	j'ajagumna	n'anagumbz
abawe	abaweh	xbwwe	abxde
bibala	libala	fibaoz	bjbslq
abaalyanga	abaagyanga	abaakywnga	abxaljanya
mbasaasaanya	mbasaasaanyb	nbaaaxsaamya	kfaeaasaanya
ab'okuwanga	ab'okuwangal	ab'ouywanga	aj'oouwamga
nnabbi	nnabmi	gnabdi	nnwvbk
twalira	twallra	twalkrw	ywwlirz
amugambye	ymugambye	xmygambje	ahubamvye
bitala	bitalaj	giyaoa	bitqpa
gaffe	gaffex	gxffs	gaffw
tebyakyuka	tqbyakyuka	trbyakyuka	febyakyuks
gakubagana	gakibagana	gamubagaha	tzlubagana
kyagwanira	kyaawanira	kyardanida	kkagwankra
n'atamanya	n'atamxnya	n'stamwnja	n'stamanyq
okuziryako	oluziryako	okuzirtaoi	okuziryxko
eby'olubereberye	eby'olubezeberye	ebm'omubereberge	dby'oliberwberye
okukwata	okukwcta	lkuowatz	ikjkwsta
n'omulenzi	n'omvlenzi	g'omulegzi	m'imulenzi
mubasaasirenga	mubasaasireuga	mugssaasirenfa	mkbqsaasidegra
bakoowoola	bakoowfola	bakppsoola	bakoowoplz
kina	kinaa	kinw	uina
w'amawanga	w'amawangq	w'amqwxnfa	w'amaqanga
ly'abafirisuuti	ly'abafioisuuti	my'abafirksuuti	ly'abafirivjuti
n'obuvumu	n'pbuvumu	n'obhgumk	n'obuvumu
talumoni	talumonih	talhmkni	talhkoni
sittimu	sittiml	sitgimh	xittjmu
kutuukiriza	eutuukiriza	jutuukiriaz	outuuoitjza
n'akaaba	n'akaaba	b'akxaba	j'akaafa
nsonyiye	nsonyiyem	nzobyiyd	nconyjye
ebikyetoolodde	ebikyetoolorde	ebimuegooloddf	ebikjetooloddr
omuwoolezi	omuwoolezil	ojuwpplezi	omuwoioezj
bwenyi	bfenyi	bwebtk	bwfbyi
n’abuulira	n’abvulira	n’abutoira	n’abuukifa
ow'obuggya	ow'obuggyk	ow'pbugfyq	pq'obuggya
beetaaga	beetfaga	bfetaaga	bewtaava
obutakkiriza	obutakkirizaz	ogutakkydiza	ovutakkieizs
banaamuzikiriza	banaamuzikirizz	bsnsqmuzikiriza	banasmuzikproza
batabagobera	batabagoqera	varabahobega	batsbaupbera
gombi	gomgi	vomfi	gpmbl
kw'amaanyi	mw'amaanyi	kw'amawnui	kf'amaanji
omuzibe	dmuzibe	lmuaibe	onuzlbe
ng'ebisasiro	ngmebisasiro	ng'ebkqasoro	ng'ebiqwsoro
anaagamba	anaadamba	amaavamha	znaagamba
ebipande	efipande	wbipajdw	evopanee
bamukime	bamukimea	bamlkjme	bzmgkime
egitazimbulukuswa	egitazimbulukcswa	egitazihbuiuijsda	egihazinbupukjqwa
alizza	alizzaq	slizaa	spizza
mmukyawa	mmukyawv	mmukyswa	mkukyada
yezureeri	yezureewi	yezirrerl	irzureeri
by'omubiri	by'omubiris	by'kmuniei	gy'omubiri
baakwatirwa	baakwbtirwa	bqqkwatirwa	baakwatjrdw
yanfuula	ylnfuula	ganfuola	yznryula
nkukoze	nkukozeo	jkukkze	nkhkoze
akiyezeeri	akpyezeeri	akiyexefrl	qkiyezseri
nkugaba	nkugabr	nougaba	hkkgaba
okwetwalira	okwetwalora	okwetwaolta	kkwehwamita
ky'eyagala	ky'eyagtla	ky'eyagamz	ky'eyagsla
kulongoofu	kulongkofu	oulonglpfu	kulongopfu
okumalibwawo	okumalybwawo	lkunalibwawo	ikumalihwqwp
n'abawanika	n'abawanima	g'afawqnika	n'zhawanika
lisa	lssa	oisz	oisx
waleka	waltka	wsleja	wqleia
agafaanana	apafaanana	agwfaananw	agavaabwna
ly'omukazi	ly'kmukazi	ly'omukqsu	lg'omumazl
luli	lula	lkll	pulj
musana	mesana	musanr	muqanx
lw'olimala	lw'olitala	lw'olkmqla	pw'olihaoa
bamusibya	bawusibya	vamusibys	vamuwkbya
yategeereza	yategeerera	jategeerdzx	yafdgrerezx
okukolera	okukwlera	ouuuoleea	omujklera
gw'ente	gx'ente	gw'dntd	gs'egte
bw'olyetikka	bw'olyetibka	bw'oluefikka	hw'olyrtikoa
banakuwadde	banakujadde	banwkuwwdre	bahqkuqacde
babakubiriza	bgbakubiriza	bahskuhiriza	bahamubirixs
aggibwe	cggibwe	sgribde	ahnobwe
kuliko	wuliko	kmkiko	kulkmp
ambisseeko	kmbisseeko	ambiscreki	wmbussedko
ogulukibwa	ogulukhbwa	ogulukibqc	oguiukibwz
sabbesayi	sazbesayi	swfbesayo	sqnbesayi
bayigiriza	bayigwriza	uayogiriza	bayigkruzx
enjuyi	enjuli	enniti	eguiyi
b'ebikumi	b'ebikuti	b'ebikjii	h'ehikuni
okunaaba	odunaaba	onunwabw	okunaeha
ng'enkoko	ng'wnkoko	hy'ejkoko	jg'enkouo
bulifuluma	bulnfuluma	bulifulukx	vulifulumz
ganaakukuumanga	ganaakuauumanga	gqgaakikuumanga	gzhaakukuumabfa
obw'okusatu	obw'okusatu	obw'okjsatu	obd'okusaty
okwetaaga	orwetaaga	okqetaxna	lkdetaagq
kanene	kaneno	lanehw	kagenr
bw'anaamalanga	bw'anaamalknga	bw'amaamakamga	bw'amaanalanha
okukutabaala	okukutabaalm	okukutzbaaos	okukyfxbaala
emiryango	emiryungo	rmirysngp	emirgsngl
mumuyite	muduyite	mumutite	mimuyite
tusuubira	rusuubira	gysuuhira	tuquubirw
naasaba	nalsaba	maaswbz	naasqna
eyafumita	eyafumitax	egavjmita	egafumjta
mulwane	mulwanu	mulqqns	mumwahe
n'enfuufu	n'enfwufu	n'enfhubu	n'eneuufk
ky'olina	kywolina	ky'pline	ky'oliga
bakadde	basadde	nakavdr	baksfde
nnambye	nnymbye	nbambhe	nnajgye
olw'okutya	ole'okutya	oow'okuyyz	oow'ojhtya
okukiika	okukdika	llukiikq	onjkiikx
tuzikirize	tuzimirize	tuzikiglzf	tuzljiriae
n'ennya	n'ennsa	b'ennya	n'dngga
obusibe	obpsibe	obusigg	obiskbe
yanyoomebwa	yanloomebwa	gankoomebwa	yanykojeuwa
n'okuwaayo	n'oktwaayo	g'okuwaayl	n'okkwzayo
nasiruwala	nasiruwalao	nasktiwala	nasirywala
n'abafirisuuti	n'aqafirisuuti	j'abwfirisuutj	h'ababigixuuti
okuloka	obuloka	kkuloks	okuolka
gamalyeri	gamalyerib	gahalywei	hamalyrri
namala	nkmala	txmala	namalx
n'olukindo	n'olukiodo	m'llukjndo	n'olilindo
bulokozi	bulokyzi	gulokoso	nulokjzi
ng'obuzito	ng'ibuzito	hg'oguzjto	ng'obuairo
gwawandiikibwa	gwawandiikiuwa	geawandiikibsa	gqawsndiikifwa
omulimi	jmulimi	okuliyi	ommlimi
n'eza	n'eze	n'waa	n'eze
mubadde	bubadde	mhbadde	munaddd
alifumita	alifumitab	aoocumita	allbumitx
saalayimu	aaalayimu	saaocyimu	sqqlahimu
kwakwo	kwakwow	kwalwk	kwqowo
n'ayosaawo	n'axosaawo	n'auosqawp	n'ayosaaeo
mubeeramu	mubneramu	kubeersmh	muberranh
bawengayo	bvwengayo	baeeggago	hawfggayo
kubaleeta	kubcleeta	kibalrera	kybsleetz
timuna	timuny	tomija	tlnuna
mugulumize	mugulrmize	mugukyhize	mkghpumize
birukani	bsrukani	bjdykani	gitukani
n'oluvannyuma	n'oluvannyusa	n'oluvanyykma	n'olkvagyyuma
yabeeranga	yabeerarga	yqbewrabga	ysbeeeanna
abakibeeramu	abakibneramu	abwkihedrwmu	abakiheeranu
gguliro	gguliso	ggulkeo	rbulito
banyweza	banywezn	bzjywesa	bqnjwezw
twe	tne	fwe	tee
eyagala	eyagmla	etzgwla	dyxgalz
ekibala	ekibzla	eligals	snjbala
ng'omubiri	ng'omubifi	mg'pmubiru	ng'onybiri
bamutuumako	bamutuumayo	namjtiumako	bamiyhumsko
ow'entiisa	ow'emtiisa	ow'emtkisz	ow'enfuisa
n'akkira	n'alkira	m'akkkra	b'akuira
kufuna	kuwuna	kyrkna	kufuhw
antumye	antumoe	amtulye	antujgr
ekisumuluzo	ekisumuouzo	eiisijuluzo	ekicummluso
yabakola	yabakolg	yagakoms	yabzloka
guloka	gulokak	fupokz	gulokd
muddeeyo	musdeeyo	muddfruo	muddwryo
iwenda	iwendx	lwegdq	kwdnda
okwata	wkwata	oiaata	okwwta
z'e	zye	s'e	z'f
onaaze	onabze	igzaze	onwaze
bagoberwa	lagoberwa	bagobeywa	fagkverwa
emyoyo	ehyoyo	emjogk	dmyoyo
ogwera	ogwega	ltaera	ogwdra
bibonoobono	bibonoobonf	bibonoivoho	bironoovkno
bamuweerezanga	baouweerezanga	bqhuweerwsanga	bamjwderrzajga
yokuseeri	yokuseery	ylkusweru	uokuseegi
tovanga	wovanga	tovxnhs	tofzmga
b’e	b’b	b’r	b’w
asaasire	bsaasire	asaaside	aszzdire
abaisiraeri	abaosiraeri	abaudieaeri	abzksiraedl
kunoonya	kunomnya	mynopnya	jlnoonya
okubatuukirako	opubatuukirako	piubqtuukirako	okubafkukjrzko
tennaba	tynnaba	tsgnabz	yennaha
naagolokoka	naagolokqka	jaagomoklka	naqgolokpoa
n'amatovu	nmamatovu	n'amatoru	n'anwtovu
nnina	nnzna	bnima	ynina
ab'ewammwe	ab'lwammwe	ab'ewxmnwr	xb'ewwmmde
towasanga	towapanga	towaxwngq	gowssangs
obulungi	obqlungi	obilungk	oguikngi
kw'oli	kh'oli	kd'oli	me'olu
okuyimusa	okuqimusa	lkjyimusa	okuyijusd
g'eŋŋonge	g'eŋfonge	g'eŋŋlnge	g'fŋŋobgw
eky'okwoterezangako	eky'okwoterezangawo	fky'okwotedssabgako	rky'okwoferezangqko
okuweerezanga	okuweerezangab	oouweegfzanfa	okyweerdzahta
ng'ente	nx'ente	ng'ente	ng'ente
muka	mukas	nika	muja
okukendeera	okukendeerab	okykehdesra	ooukendrera
aggye	adgye	aggus	agyge
n'ebigamba	n'ebighmba	m'ebigamha	n'ebivwmba
omuisiraeri	omuipiraeri	onuleiraeri	ohuisifaeri
nzisaamu	nzisaamb	mzisqsmu	hziswaku
bagolokokanga	bagolokokadga	bavokojonanga	bagokokokanva
ng'emizizo	ng'eqizizo	jg'emizizo	jt'emizizo
n'eyitawo	ndeyitawo	m'eyitxwp	n'ejitwwl
okwetooloola	okwetoaloola	okwbtooooolq	pkserooloola
ebijjudde	ebijbudde	ebijjuxff	rbijjudrw
n'ebitala	c'ebitala	n'ebhtala	n'fbitwoa
eyagwa	eyagwb	eyxgex	eyagww
n'obukakanyavu	n'obukakbnyavu	b'obkkakanyavk	n'kbiiamanyabu
n'entikko	n'entinko	n'entjkii	n'entilkk
baakambonyaabonyezza	baakambonyaabonwezza	baakambonyaabonhrsss	basksjbinyzabonyezza
balinzita	palinzita	balinaigz	bslinzits
babuna	babunau	bxnhna	bxbuba
ndagidde	ndagidde	ndagodde	ndagirde
nziba	nciba	nziba	nzifx
n'akizikiririza	n'akizikirikiza	g'aoiaikiriflza	n'zluzimiririzs
penina	pynina	ksnona	prnjja
eao	eso	eqo	eao
alitwala	alitoala	alitwxla	qlugwala
balibayigganya	baeibayigganya	balicatigganyq	falibxyiyganua
oyogere	oytgere	lyogfre	oykgefe
okukeesa	okakeesa	okukeesx	oiunwesa
temwesalanga	tepwesalanga	remwfswlamga	tskwecalanga
n'ayanguwa	n'abanguwa	n'ayqnyuwa	n'ayshguwa
ayogeza	uyogeza	ahogesw	syoreza
n'ajjulukuka	n'ajjulunuka	n'amuulikjka	n'zhkulukuka
ag'omubiri	ag'omubiri	wg'omublti	ag'imuhiri
ey'obutuukirivu	ey'obstuukirivu	ey'lguruunirivu	wy'ogythukirivi
kumuziika	kumuzigka	iumuzilkz	kuhuzikka
onooyogeranga	onooyogsranga	ogopyorerajga	onooupgeranra
manase	maiase	manwsw	hanqse
oguleeta	oguleeka	ovuiefta	oguiweta
bukya	bunya	vjkya	bukhx
mweyongere	rweyongere	hweyingsre	mseylngeee
zalumona	znlumona	zalhjons	zalkmlna
n'obeera	c'obeera	g'obeera	n'obseda
ani	asi	wni	ank
eneeryanga	eneeryanga	enferyaggq	ejedrhanga
byagwo	byadwo	ghaywo	gyzgqo
katono	katonoj	katogi	oatono
agajjudde	agajjudde	agwjyuddf	shajhudde
simeyaasi	simeyaasis	sioeyaaso	simeyaaxm
bulokovu	bulovovu	ghlokivu	bulonkvu
tukolanga	tukotanga	hukpmanga	tukonznga
kusaba	rusaba	ouqzba	kusqhw
banaakugamba	banazkugamba	bagzskugsmba	banaakuhamga
omumowaabu	gmumowaabu	omimkwsabu	kmumpwaabu
ng'entuumo	ng'gntuumo	ny'entuumk	ng'entukno
n'aganja	n'avanja	n'aganmz	n'sgqnma
okungoberera	okungjberera	omungobesera	oountlberera
ab'omukwano	abnomukwano	ab'kmumwank	sb'omukwano
bannyambe	bannyambew	bangtsmbe	bannhsnbe
yagumiikiriza	yagumkikiriza	gavumiikigizw	yagujiikjriza
tebaakuweerezanga	tebaakuweerexanga	tehaqouweerezahga	trbaxkuweetezsngs
ky'anaawangayo	ky'anaaxangayo	ky'ahaawangaho	oy'anaswahgsyo
guli	guni	rumi	guki
n'amponya	n'ambonya	n'smppnha	n'zmkogya
ebirabo	vbirabo	dbiravp	ehltabo
kusingawo	kusincawo	kysungaeo	ujsingawo
amuwadde	amzwadde	amhaacde	amuwadde
atazaala	atgzaala	wfazaalz	wtazaalx
ebibwatuka	ebibwatuga	sbigwayuka	ebibwagukz
tokyamanga	tokyamabga	tokyamxhva	tlkyamqngz
enkazaluggya	enkaaaluggya	enkasaliygyq	rnmazaliggyw
tekuba	tvkuba	fekyva	dekuva
baabuulira	babbuulira	baabuulkga	baagujkira
togoba	togoba	hkgona	toylga
kungulu	kungulua	khmgulh	lumgilu
w'ettabaaza	p'ettabaaza	w'ehrahaaza	w'frfabaasa
w'emmeeme	w'emmeems	w'rkjeeme	w'emmeemw
n'abanaaza	n'abhnaaza	h'ahanaaaa	n'xbahqaza
eky'okujjukiza	eky'ukujjukiza	eky'oounnukiza	dkt'okujjkkoaa
ebitaasa	ebitzasa	ebirsaea	ehitqasa
bayimbi	bayimni	fatimbk	bzyikbi
w'abakomole	w'abaksmole	w'abwkonile	w'abalmmple
omega	omnga	oheva	pmenw
anattanga	anaptanga	dnattangz	agatragga
lw'ennaku	lu'ennaku	lw'fnnaou	lw'ennaku
kakira	lakira	mwkora	kaklra
n'okutuusa	h'okutuusa	n'okutuisz	n'okuthusa
musuubira	musxubira	muauubhra	musuubirs
n'obugagga	nuobugagga	n'ibuvanga	j'pbugaggx
lya	lyr	lyz	pta
ekyalekebwawo	ekyaleiebwawo	skjwlekebwawo	enualekenwawi
mutukuvu	mutukuvuk	mhgykuvu	hutjkhvu
ekikonge	ekikonye	dkikonge	eiioonge
emmere	emmerg	rjmrre	emmees
okubasanga	okubasanga	okubszanna	okkfassnga
muyimbire	mkyimbire	mijimvire	myyjnbire
abaleetako	asaleetako	abzoertako	abaleetwjp
kyalaba	kyzlaba	kyalxba	kyalxba
ow'ekiwalaata	oq'ekiwalaata	ow'eklwxlsqta	pw'dkiaalaata
kutiisa	kutirsa	kytiusx	uutkjsa
ng'abuulira	ng'atuulira	hg'abukliga	ng'sbjulkrs
okuwangayo	okudangayo	ikywanfayo	onhwahgayo
n'abakiiti	n'abakiitiw	n'arakiiti	n'abakluti
ngero	nuero	hgfro	mneto
n'endala	n'endaoa	j'endala	n'enddlq
muto	muxo	mkyo	mutl
yaalwo	yaalwt	baamwo	ysamwo
n'afuuwa	n'afvuwa	j'aguywa	n'aduuwa
bakyaliirako	bakyxliirako	gakyallorxko	nakyaiuiraki
ng'asembezezza	ng'asembezezzq	ng'wsemjezezzw	ng'asembezezxx
yatya	yahya	gatyx	ystua
bunkutte	bunkutie	bjnkuttf	bunkjttf
sanubalaati	sanabalaati	danjbalazti	sznkhapaati
bw'osala	bw'osama	nw'oswls	nw'osapw
baguguba	baguguby	nsgjguba	bdgugubq
n'emisingi	n'emgsingi	n'emusingu	n'emodingi
n’aŋŋamba	n’aŋoamba	n’sŋŋamba	n’xŋŋsmba
ngimalamu	ngimadamu	nhinalsmu	ngikalqju
ggalatiya	ggalattya	tgzlahiya	ggaiwtiys
bambukira	bambukirg	bamhuiirq	bambullga
bw'abeera	bw'abeerai	bw'avweta	ba'aheeda
omuva	omeva	omudx	omube
tutwalibwa	tugwalibwa	tutwapibwe	dutwaljbwa
kasaale	kasaaln	kssaqls	kqwaale
ndikukola	ndikukolaa	hrijukola	nsikkkola
lubumbiro	lubhmbiro	lybujbido	lubymbkrp
okulokolebwa	okulokolebwi	oihlllolebwa	okhlokolebwa
alisanyuka	alishnyuka	qlisxnyula	alidwnyukq
ezisigadde	ezisigande	ezisjgadvw	ezosiyadde
sigenda	kigenda	sigsjdz	sigegde
'byonna	'byonnan	'byohma	'bgojba
obyetwalire	obyetwalike	ibyetwwlirr	kvyefwalire
bayiga	qayiga	bzjiva	bayjfa
kalukuli	kalukvli	jaoukuoi	kalukgpi
ekyokebwa	ekyokebwan	dkyikehwa	fkyokebwc
eky'okubiri	eky'okubiai	eky'okuburi	eky'ilkbiri
n'emitwe	n'embtwe	n'rjitse	n'emigwe
kanani	kanami	uqjani	kajeni
n'ataddamu	n'ataddamul	n'aradxzmu	n'atxddaju
bateegebwa	bateogebwa	bsteegehsa	barregsbwa
bw'a	bh'a	gw'q	bw'w
omugimu	omugimuy	phhgimu	olugimu
gubookya	gujookya	gybolkha	jufookya
n'ekalira	n'ekalirc	n'fkalita	n'fkaoira
alijjira	alijjfra	zmijjira	alojjira
baalagaana	badlagaana	bacoagaana	baalagaqna
n'addamu	n'eddamu	n'adrwmu	n'adsamu
gy'eneebuulirwanga	gy'eneezuulirwanga	gy'ensegujlirwajhq	gu'ehfebuumlewanga
tebugenda	tebugenga	tebjgdnfa	tenhgejda
ng'okuzaalibwa	ng'okuzaalibwag	gg'okuzaqlihwz	he'onuzaalibwa
goberera	goberewa	gobdrfrs	boberdra
nnafuula	nnafuula	nnafihpa	nnafuyla
obe	obe	ohe	ove
oyogedde	oyogeddeo	pyobedfe	jyigedde
kasufa	kazufa	ixsufs	jaskta
olw'ebuvanjuba	olw'ebumanjuba	olw'dbuvankjba	ilq'ebuvabyuba
yeekyusa	yeekyjsa	hrfkyusa	ysekyhsa
akasaale	akasaalev	akasaxpd	akseaale
ng'ekyokulabirako	kg'ekyokulabirako	ng'ekykkulagiealo	ng'ejyokukabidqko
n'ebirimba	n'tbirimba	n'ebisimba	n'fhirimva
omuwonge	omuwongex	omuwlhgd	kkuwogge
tumutte	tumutter	tummthe	tumuhte
mugume	mugume	hjgums	kufumw
egy'amazima	egy'amazimac	evy'amazika	egy'zmazonq
nnalaba	nnalfba	nnakana	jnalaba
oluggi	oluqgi	klygvi	ooiggj
okumukemereza	okumukefereza	okumuoemrrfzw	ojumuiemerrza
balibeerera	balibeevera	bxligeerefa	vakifeerwra
saalome	saalomb	saaoome	saamond
keesi	keysi	kefwi	kswai
mweyawule	mweyawulj	mweyswupr	hqeyaaule
beeranga	beerangb	hseranha	bderangw
n'abakuumi	n'abakuumii	n'abxkuumi	i'abxkuumi
okuwaanyisa	okuwaunyisa	okuwxanyisa	okuwasgtixa
batugamba	batugambaz	varugajba	batkgxmva
bibeere	biveere	hufeere	nineere
bajooga	bajooga	hahloga	vajliga
eringi	erikgi	etungo	egingm
ndiwandiika	ndiwafdiika	ndkxandiika	ndiwancouks
abana	abada	qbzna	sbana
adduse	anduse	avdusc	sfduse
n'ejjembe	njejjembe	n'ehmwmbe	n'ejnembc
bw'alaba	bw'ilaba	hw'alsba	bw'alaba
ayimbira	ayiybira	ayimbiea	xyimnkra
batatuuka	batituuka	bxtahhuka	batatkukx
ezisaasaanye	ezisaaeaanye	esisaasaznuf	wsisaaaawnye
emmambya	emmampya	emkzmbta	emkahbya
eyakomezebwawo	eyakomezebwawo	eyqkomezfbsawk	ryaklmrzegaawo
ng'abadduka	ni'abadduka	nv'abadvuks	ng'sbaeduka
kujaguza	kujawuza	kuhaduza	kyjaguzw
nkibumba	nkxbumba	gkibuhha	niibkmba
baddukira	baddukiro	faddikirx	bacdukira
eyalabika	eymlabika	eyxkabkka	eyqlabika
gw'omufirisuuti	gw'omufirisuuty	vw'onufurisujyi	rw'omkfidjsiuti
mw'osula	mwposula	mw'osuja	hw'osula
nkutume	nkutumr	mkjtums	jkuyumw
afuula	abuula	aeiupa	xfiupa
bw'oyogera	bw'oyqgera	bw'oyitefa	hw'oyogerz
ebigirimu	abigirimu	ebigiejmu	ebirigimu
bamuvuma	bkmuvuma	damuvuna	bahhvumw
ndinyweza	ndinywezd	neingwezx	gdiniweza
abafuba	abazuba	qrafuba	abxfkbz
yatufuula	yatufuusa	yathbuuia	yatueuuld
okubakwata	okubakwatav	ojubamsata	pkubqmwata
empaka	empaka	ehkakq	ehpxua
